,index,id,attach_dist,is_attached,is_contained,is_matched,match_ids,match_overlaps,pred_num_pix,pred_sum_pix,true_num_pix,true_sum_pix,ke,true_ke
45,75,4,1.3076829855441552,True,1,1,[28  4],[0.73333335 0.0019425 ],141,31.23845,145,33.002960205078125,37.63668565865023,49.593084655469724
46,76,12,0.9949906577175445,True,1,1,[20  3],[0.7692308  0.00316456],22,6.001451,24,5.932523727416992,7.230663874063148,16.67103661404554
47,77,4,0.29998779296875,True,1,1,[10],[0.67741936],23,6.3114605,29,7.186179161071777,7.604169271078455,7.636578244823209
48,79,6,0.3000030517578125,True,1,1,[20],[0.9133858],121,30.436964,122,30.734180450439453,36.67104100606528,38.429337487034154
49,80,11,0.600006103515625,True,1,1,[23],[0.8450704],62,17.054115,69,23.06262969970703,20.547126861939947,46.66434546059868
50,84,6,1.0816806184649572,True,0,1,[25],[0.5],51,14.08506,-1,-1.0,16.96995195136013,-1.0
51,84,7,2.8301891638479315,True,0,1,[18],[0.01973684],3,0.5326534,-1,-1.0,0.6417510739292007,-1.0
52,85,1,0.29998779296875,True,1,1,[16  0],[7.925926e-01 2.477087e-04],119,30.158215,123,35.1649169921875,36.33519827601422,38.74961970881493
53,86,5,5.832702416709914,False,0,1,[27],[0.6203704],75,24.701902,100,36.98521423339844,29.76132818015225,46.94110095828454
54,86,6,3.2863297733609724,False,1,1,[28],[0.75409836],48,15.532355,59,29.506006240844727,18.71368109461773,47.94850232086234
55,86,7,0.8485151901863922,True,1,1,[10],[0.9122807],106,24.461916,112,24.502185821533203,29.472187915480283,37.93724039797604
56,89,1,0.29998779296875,True,1,1,[11],[0.86619717],132,30.558514,133,39.27582550048828,36.81748631488846,42.58400352934293
57,94,1,3.3675422167691615,False,1,1,[29  2],[0.6150235  0.00444444],139,23.564732,205,43.03026580810547,28.39124288903662,48.403268960419084
58,95,0,0.5196029088876658,True,0,1,[8],[0.8],124,21.127438,119,26.264272689819336,25.454744086208116,35.583485036606774
59,99,9,0.6708272171878565,True,1,1,[36],[0.79710144],61,14.460671,63,18.28917694091797,17.422495692609306,30.927919154514726
60,99,10,2.2847331340539374,True,1,1,[25  5],[0.70183486 0.00883652],181,28.878391,190,29.872051239013672,34.79324248899897,46.1176045266978
61,100,0,0.848536769098432,True,1,1,[36],[0.7923077],121,28.882406,112,31.077247619628906,34.79807980089303,37.72407233624227
62,100,1,1.558846901439651,True,1,1,[54 62  3],[0.75376886 0.08241758 0.00190658],180,36.762535,169,35.601593017578125,44.29221095809018,47.09401204268015
63,100,17,0.3000030517578125,True,1,1,[63  0],[0.84210527 0.00526316],161,38.5858,154,39.813140869140625,46.48891586855234,44.41787940213696
64,100,18,0.7348170250056694,True,1,1,[23],[0.15447155],19,3.4529645,-1,-1.0,4.160198246140078,-1.0
65,103,0,2.1840488965727474,True,1,1,[30 26],[0.5116279  0.05555556],37,11.507657,28,5.762712001800537,13.86464704950172,7.5397772818617375
