index,run,subrun,event,reco_interaction_id,reco_vertex_x,reco_vertex_y,reco_vertex_z,reco_leading_ph_start_point_x,reco_leading_ph_start_point_y,reco_leading_ph_start_point_z,reco_leading_ph_energy,reco_subleading_ph_start_point_x,reco_subleading_ph_start_point_y,reco_subleading_ph_start_point_z,reco_subleading_ph_energy,opening_angle_s2v,mass_s2v,opening_angle_cw,mass_cw
12,28594,0,24,4,-271.44,11.790009,-645.501,-272.64,49.890015,-596.901,175.37987031132343,-282.54,9.389999,-640.401,60.39074357733669,77.247086,128.47815808515853,66.01902,112.1307762255632
6,28839,0,11,18,-161.64,3.6900024,-208.40094,-169.14,65.79001,-180.50098,266.01378659167926,-167.34001,13.590012,-209.00098,109.52372723315136,35.128216,103.01872265192237,33.988583,99.77689994092377
6,29246,0,16,6,-310.44,-62.909996,-818.751,-313.74002,-65.909996,-819.201,48.54644407708961,-272.04,-63.21,-814.10095,37.08295707243035,137.53757,79.09897126294095,129.86922,76.86703219573397
1,29607,0,17,4,-254.94,18.090012,738.1991,-239.64001,16.590012,737.4991,111.9743622929217,-263.94,66.990005,790.8991,61.3022861710514,102.8481,129.54285210993154,98.17851,125.22605368029272
6,29732,0,19,6,-196.44,-149.01,790.5991,-202.14,-149.01,792.09906,165.22827148437503,-212.04001,-142.41,808.29913,140.48961961125755,36.90333,96.44379200091828,45.102688,116.86173842924178
6,30041,0,16,1,-287.04,-46.259995,122.49902,-280.14,-114.81,120.699036,125.01855873199831,-245.04001,-60.509995,93.699036,72.06145596791464,68.79169,107.23729281458057,80.216644,122.2961843863365
13,31018,0,27,7,-118.44,-80.159996,710.19904,-92.640015,-89.909996,761.79913,186.75338561276357,-157.74,-59.609993,720.69904,118.80954604551017,104.60788,235.72856012340182,81.835175,195.12513061328315
2,31408,0,8,12,-312.54004,-35.61,238.59906,-322.44,-41.90999,269.19904,496.01911062217624,-332.34003,-30.809998,270.09906,154.58101939006025,23.241913,111.55648688519854,94.81448,407.70202075324613
11,31509,0,26,8,-268.94,-76.81,-445.20096,-288.24002,-83.31,-418.40097,137.46648581631214,-269.64,-72.509995,-440.90097,96.90742952277863,60.71044,116.65608906107043,62.480156,119.71831618953591
9,5019,0,19,1,-111.69,78.84001,-106.10095,-103.44,81.990005,-106.40094,71.62119853927429,-143.04001,66.09001,-120.50098,33.13454777361399,154.97633,95.11585739073558,27.768848,23.37963273305158
